ID;Name
2974;Paris
2975;Marseille
2976;Lyon
2977;Toulouse
2978;Nice
2979;Nantes
2980;Strasbourg
2981;Montpellier
2982;Bordeaux
2983;Rennes
2984;Le Havre
2985;Reims
2986;Lille
2987;Saint-Étienne
2988;Toulon
2989;Grenoble
2990;Angers
2991;Dijon
2992;Brest
2993;Le Mans
2994;Clermont-Ferrand
2995;Amiens
2996;Aix-en-Provence
2997;Limoges
2998;Nîmes
2999;Tours
3000;Villeurbanne
3001;Metz
3002;Besançon
3003;Caen
3004;Orléans
3005;Mulhouse
3006;Rouen
3007;Boulogne-Billancourt
3008;Perpignan
3009;Nancy
3010;Roubaix
3011;Argenteuil
3012;Tourcoing
3013;Montreuil
