Région;Département;Section Technicien Supérieur, Classe Prépa Grandes Ecoles;Formation santé;Formation commerce;Autre formation post bac non universitaire;Unité de Formation et de Recherche;Institut universitaire;Ecole d'ingénieurs;Enseignement général supérieur privé;Ecole d'enseignement supérieur agricole;Ecole d'enseignement supérieur agricole avec internat;Autre enseignement supérieur;Centre de formation d'apprentis hors agriculture;GRETA;Centre dispensant de la formation continue agricole;Formation aux métiers du sport;Centre dispensant des formations d'apprentissage agricole;Centre dispensant des formations d'apprentissage agricole avec internat;Autre formation continue;Résidence universitaire;Restaurant universitaire;ID;Name;District;Population
93;13;4;4;5;11;8;4;3;4;0;0;8;21;1;1;1;0;0;1;17;7;2996;Aix-en-Provence     ;;
32;80;0;15;5;2;11;2;1;1;0;0;7;18;1;0;1;0;0;12;23;4;2995;Amiens              ;;
52;49;5;11;3;9;5;2;6;9;1;0;2;5;1;5;1;2;0;20;13;6;2990;Angers              ;;
11;95;0;1;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;3011;Argenteuil          ;;
27;25;0;6;2;4;5;2;3;0;0;0;5;13;1;2;3;1;1;6;3;4;3002;Besançon            ;;
75;33;10;12;12;28;8;2;2;3;0;0;8;16;1;0;0;0;0;5;12;4;2982;Bordeaux            ;;
11;92;0;2;2;2;1;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;3007;Boulogne-Billancourt;;
53;29;1;8;3;5;6;5;5;0;0;0;5;15;0;0;0;0;0;5;3;3;2992;Brest               ;;
28;14;4;11;2;3;13;2;2;0;0;0;5;8;1;1;0;0;0;11;7;4;3003;Caen                ;;
84;63;2;10;1;7;9;4;0;0;0;0;3;7;1;0;2;0;0;8;12;2;2994;Clermont-Ferrand    ;;
27;21;0;10;2;7;8;8;3;2;1;0;8;13;1;1;2;0;0;1;6;4;2991;Dijon               ;;
84;38;0;6;4;6;5;3;3;3;0;0;2;17;1;1;0;0;0;8;12;4;2989;Grenoble            ;;
28;76;0;3;1;2;5;3;2;0;0;0;4;10;1;0;0;0;0;9;5;2;2984;Le Havre            ;;
52;72;1;11;2;2;3;2;3;0;0;0;2;13;1;2;0;0;0;26;2;2;2993;Le Mans             ;;
32;59;11;28;13;20;5;2;10;15;1;0;7;39;1;1;0;0;0;3;8;7;2986;Lille               ;;
75;87;1;5;1;2;6;4;3;0;0;0;5;9;1;0;0;0;0;14;12;3;2997;Limoges             ;;
84;69;19;12;19;48;8;2;3;7;1;0;18;15;1;1;2;1;0;37;19;15;2976;Lyon                ;;
93;13;6;18;5;20;11;7;7;2;0;0;9;64;1;1;0;2;1;13;18;12;2975;Marseille           ;;
44;57;5;3;3;7;6;1;4;0;0;0;5;7;1;1;0;0;0;13;5;2;3001;Metz                ;;
76;34;9;11;8;22;14;2;7;1;1;0;7;13;1;1;2;1;0;4;24;13;2981;Montpellier         ;;
11;93;0;1;1;4;0;1;0;0;0;0;0;4;1;0;0;1;0;3;0;0;3013;Montreuil           ;;
44;68;2;9;1;0;3;2;2;0;0;0;2;6;1;0;0;0;0;9;4;1;3005;Mulhouse            ;;
44;54;2;6;1;7;7;2;5;0;0;0;10;11;1;0;0;0;0;19;7;5;3009;Nancy               ;;
52;44;9;17;7;26;11;3;6;0;2;0;5;14;1;1;2;3;0;65;24;10;2979;Nantes              ;;
93;6;10;11;4;18;9;6;0;6;0;0;4;28;2;1;0;0;0;1;7;4;2978;Nice                ;;
76;30;1;4;2;5;2;4;1;1;0;0;5;4;1;0;0;1;1;3;5;8;2998;Nîmes               ;;
24;45;1;5;1;3;3;4;2;0;0;0;3;20;1;1;0;1;1;16;11;4;3004;Orléans             ;;
11;75;33;67;79;232;84;4;23;192;1;0;81;76;5;1;3;2;0;179;78;54;2974;Paris               ;;
76;66;3;1;1;2;4;2;0;0;0;0;4;4;1;0;0;0;0;5;8;4;3008;Perpignan           ;;
44;51;2;12;1;4;8;4;1;0;0;0;8;8;1;1;1;0;0;5;8;3;2985;Reims               ;;
53;35;6;15;4;14;18;3;8;0;1;0;9;22;1;2;3;2;1;11;18;7;2983;Rennes              ;;
32;59;0;2;5;4;3;2;1;0;0;0;0;21;0;0;0;0;0;0;3;1;3010;Roubaix             ;;
28;76;0;1;0;5;2;3;0;1;0;0;2;5;1;1;2;0;0;5;3;1;3006;Rouen               ;;
84;42;2;3;3;5;4;2;3;0;0;0;5;4;1;1;0;0;0;9;6;3;2987;Saint-Étienne       ;;
44;67;10;14;4;13;25;2;4;1;1;0;9;9;0;1;3;1;0;9;9;7;2980;Strasbourg          ;;
93;83;1;4;0;3;1;3;1;0;0;0;1;4;0;0;0;0;0;1;0;0;2988;Toulon              ;;
76;31;24;15;4;31;19;15;11;14;2;0;17;21;1;2;1;0;0;21;20;9;2977;Toulouse            ;;
32;59;1;1;1;4;1;1;0;0;0;0;0;7;0;0;0;0;0;1;2;0;3012;Tourcoing           ;;
24;37;4;9;1;9;7;1;1;2;0;0;3;17;1;1;0;0;0;11;11;6;2999;Tours               ;;
84;69;1;1;0;6;2;1;3;0;0;0;3;1;0;0;1;0;0;7;8;5;3000;Villeurbanne        ;;
