idCommerce;idEns1;idEns2;idEnsSup;idServPart;idSportsLoisirs;idTourTransport;idVille;taux_commerce;taux_ens;taux_servPart;taux_servSante;taux_sportsLoisirs;taux_tourTransport;ville;idServSante
1;1;1;1;1;1;1;2996;0.2523198421;0.0333662389;0.6116485686;0.0146100691;0.0448173741;0.0432379072;Aix-en-Provence;1
2;2;2;2;2;2;2;2995;0.2534696859;0.0620891161;0.5456537619;0.0259313367;0.0832724617;0.0295836377;Amiens;2
3;3;3;3;3;3;3;2990;0.2687042343;0.0483922318;0.511938873;0.0216491563;0.1181152499;0.0312002547;Angers;3
4;4;4;4;4;4;4;3011;0.1315789474;0.0244134432;0.6493341788;0.0123652505;0.0263157895;0.1559923906;Argenteuil;4
5;5;5;5;5;5;5;3002;0.3058470765;0.0434782609;0.5401049475;0.0206146927;0.0607196402;0.0292353823;Besançon;5
6;6;6;6;6;6;6;2982;0.2421307506;0.0260578808;0.6581344402;0.0117606365;0.0194857604;0.0424305315;Bordeaux;6
7;7;7;7;7;7;7;3007;0.207506866;0.0164784864;0.6335062557;0.0100701861;0.0253280439;0.1071101617;Boulogne-Billancourt;7
8;8;8;8;8;8;8;2992;0.2648320229;0.0436025733;0.5200142959;0.0250178699;0.1122230164;0.0343102216;Brest;8
9;9;9;9;9;9;9;3003;0.2808908046;0.0377155172;0.564295977;0.0269396552;0.0578304598;0.0323275862;Caen;9
10;10;10;10;10;10;10;2994;0.2683121019;0.0331740977;0.6000530786;0.0138004246;0.0488322718;0.0358280255;Clermont-Ferrand;10
11;11;11;11;11;11;11;2991;0.2582496413;0.0427546628;0.5713055954;0.0160688666;0.0711621234;0.0404591105;Dijon;11
12;12;12;12;12;12;12;2989;0.2681034483;0.0286637931;0.6189655172;0.0137931034;0.0448275862;0.0256465517;Grenoble;12
13;13;13;13;13;13;13;2984;0.2698059179;0.0486796055;0.5396118358;0.0203627108;0.0769965002;0.0445434298;Le Havre;13
14;14;14;14;14;14;14;2993;0.2653342522;0.0482425913;0.5492763611;0.0196416265;0.0851137147;0.0323914542;Le Mans;14
15;15;15;15;15;15;15;2986;0.2729787888;0.0333538272;0.5828466031;0.020288964;0.0364279127;0.0541039041;Lille;15
16;16;16;16;16;16;16;2997;0.2810231594;0.0442447287;0.542343588;0.0190114068;0.0767369513;0.0366401659;Limoges;16
17;17;17;17;17;17;17;2976;0.2738281807;0.0286365579;0.5986607779;0.0168827468;0.0272830888;0.054708648;Lyon;17
18;18;18;18;18;18;18;2975;0.2415168003;0.0312746605;0.6283590148;0.0221788429;0.0290733895;0.047597292;Marseille;18
19;19;19;19;19;19;19;3001;0.2584681111;0.037229173;0.5819346964;0.0146475435;0.0747635032;0.0329569728;Metz;19
20;20;20;20;20;20;20;2981;0.2033818139;0.0292065744;0.6890150171;0.0138346932;0.0342911198;0.0302707816;Montpellier;20
21;21;21;21;21;21;21;3013;0.1250642013;0.019517206;0.7149460709;0.0102722137;0.0187467899;0.1114535182;Montreuil;21
22;22;22;22;22;22;22;3005;0.282003012;0.0346385542;0.5881024096;0.0199548193;0.0496987952;0.0256024096;Mulhouse;22
23;23;23;23;23;23;23;3009;0.2858752817;0.041322314;0.5792637115;0.0176558978;0.0443275733;0.0315552216;Nancy;23
24;24;24;24;24;24;24;2979;0.2375625552;0.0395937592;0.6068589932;0.0167795113;0.0576979688;0.0415072122;Nantes;24
25;25;25;25;25;25;25;2978;0.1892852688;0.0174005239;0.7001995759;0.0114132469;0.013159536;0.0685418486;Nice;25
26;26;26;26;26;26;26;2998;0.2536796537;0.0326839827;0.6268398268;0.0162337662;0.0445887446;0.025974026;Nîmes;26
27;27;27;27;27;27;27;3004;0.2835453426;0.0500615511;0.5654493229;0.0151826016;0.0475995076;0.0381616742;Orléans;27
28;28;28;28;28;28;28;2974;0.2572704106;0.0148520629;0.6097904955;0.0078491256;0.0150174101;0.0952204953;Paris;28
29;29;29;29;29;29;29;3008;0.2485394352;0.0260467381;0.6360759494;0.0158227848;0.0447906524;0.0287244401;Perpignan;29
30;30;30;30;30;30;30;2985;0.2401404646;0.0443003782;0.5605078336;0.0170178282;0.0953538628;0.0426796326;Reims;30
31;31;31;31;31;31;31;2983;0.2829955512;0.045724172;0.5657439446;0.0232328225;0.045724172;0.0365793376;Rennes;31
32;32;32;32;32;32;32;3010;0.2715705765;0.0397614314;0.6127236581;0.0194831014;0.0369781312;0.0194831014;Roubaix;32
33;33;33;33;33;33;33;3006;0.3281295172;0.0289100896;0.5518936109;0.0187915583;0.0378722174;0.0344030066;Rouen;33
34;34;34;34;34;34;34;2980;0.2466104248;0.0341970473;0.5929496836;0.0156673697;0.0515215426;0.0590539319;Strasbourg;34
35;35;35;35;35;35;35;2988;0.214100346;0.0276816609;0.696150519;0.0123269896;0.0304930796;0.0192474048;Toulon;35
36;36;36;36;36;36;36;2977;0.2147600235;0.0332016475;0.6459611667;0.0151298647;0.050516937;0.0404303606;Toulouse;36
37;37;37;37;37;37;37;3012;0.221116639;0.0491984522;0.6395798784;0.0176893311;0.0431177446;0.0292979547;Tourcoing;37
38;38;38;38;38;38;38;2999;0.2829076621;0.0451866405;0.5707269155;0.0127701375;0.0484610347;0.0399476097;Tours;38
39;39;39;39;39;39;39;3000;0.1688983567;0.0286062082;0.6956786366;0.023432745;0.0346926354;0.0486914181;Villeurbanne;39
